date,daily,cumulative
24/05/2020,237563,1351
25/05/2020,239164,1601
26/05/2020,240799,1635
27/05/2020,242612,1813
28/05/2020,244346,1734
29/05/2020,245853,1507
30/05/2020,246959,1106
31/05/2020,248033,1074
01/06/2020,249440,1407
02/06/2020,250908,1468
03/06/2020,252244,1336
04/06/2020,253479,1235
05/06/2020,254583,1104
06/06/2020,255376,793
07/06/2020,256086,710
08/06/2020,257166,1080
09/06/2020,258308,1142
10/06/2020,259486,1178
11/06/2020,260484,998
12/06/2020,261531,1047
13/06/2020,262406,875
14/06/2020,263222,816
15/06/2020,264253,1031
16/06/2020,265338,1085
17/06/2020,266331,993
18/06/2020,267336,1005
19/06/2020,268292,956
20/06/2020,268969,677
21/06/2020,269595,626
22/06/2020,270473,878
23/06/2020,271330,857
24/06/2020,272094,764
25/06/2020,272805,711
26/06/2020,273466,661
27/06/2020,274113,647
28/06/2020,274556,443
29/06/2020,275273,717
30/06/2020,275883,610
01/07/2020,276521,638
02/07/2020,277115,594
03/07/2020,277686,571
04/07/2020,278083,397
05/07/2020,278634,551
06/07/2020,279327,693
07/07/2020,279919,592
08/07/2020,280606,687
09/07/2020,281309,703
10/07/2020,281860,551
11/07/2020,282293,433
12/07/2020,282657,364
13/07/2020,283367,710
14/07/2020,284044,677
15/07/2020,284806,762
16/07/2020,285501,695
17/07/2020,286072,571
18/07/2020,286567,495
19/07/2020,287003,436
20/07/2020,287806,803
21/07/2020,288577,771
22/07/2020,289359,782
23/07/2020,290143,784
24/07/2020,290899,756
25/07/2020,291417,518
26/07/2020,291965,548
27/07/2020,292810,845
28/07/2020,293646,836
29/07/2020,294679,1033
30/07/2020,295593,914
31/07/2020,296263,670
01/08/2020,296801,538
02/08/2020,297352,551
03/08/2020,298385,1033
04/08/2020,299394,1009
05/08/2020,300439,1045
06/08/2020,301501,1062
07/08/2020,302433,932
08/08/2020,303126,693
09/08/2020,303739,613
10/08/2020,305190,1451
11/08/2020,306511,1321
12/08/2020,307709,1198
13/08/2020,308839,1130
14/08/2020,309991,1152
15/08/2020,310679,688
16/08/2020,311271,592
17/08/2020,312539,1268
18/08/2020,313608,1069
19/08/2020,314831,1223
20/08/2020,316267,1436
21/08/2020,317449,1182
22/08/2020,318260,811
23/08/2020,319074,814
24/08/2020,320319,1245
25/08/2020,321523,1204
26/08/2020,322853,1330
27/08/2020,324383,1530
28/08/2020,325968,1585
29/08/2020,327169,1201
30/08/2020,328320,1151
31/08/2020,329811,1491
01/09/2020,332032,2221
02/09/2020,334998,2966
03/09/2020,338066,3068
04/09/2020,341070,3004
05/09/2020,343589,2519
06/09/2020,346017,2428
07/09/2020,349847,3830
08/09/2020,353119,3272
09/09/2020,356409,3290
10/09/2020,359949,3540
11/09/2020,363124,3175
12/09/2020,365743,2619
13/09/2020,367835,2092
14/09/2020,371148,3313
15/09/2020,374613,3465
16/09/2020,378899,4286
17/09/2020,383416,4517
18/09/2020,388261,4845
19/09/2020,393037,4776
20/09/2020,398292,5255
21/09/2020,403783,5491
22/09/2020,410073,6290
23/09/2020,416998,6925
24/09/2020,424491,7493
25/09/2020,431576,7085
26/09/2020,438222,6646
27/09/2020,445084,6862
28/09/2020,454800,9716
29/09/2020,464858,10058
30/09/2020,477136,12278
01/10/2020,490058,12922
02/10/2020,503480,13422
03/10/2020,514815,11335
04/10/2020,526458,11643
05/10/2020,542754,16296
06/10/2020,559595,16841
07/10/2020,577611,18016
08/10/2020,595593,17982
09/10/2020,611044,15451
10/10/2020,623387,12343
11/10/2020,635296,11909
12/10/2020,654459,19163
13/10/2020,673093,18634
14/10/2020,692494,19401
15/10/2020,710647,18153
16/10/2020,728105,17458
17/10/2020,742685,14580
18/10/2020,756703,14018
19/10/2020,781972,25269
20/10/2020,806992,25020
21/10/2020,832118,25126
22/10/2020,855099,22981
23/10/2020,876324,21225
24/10/2020,892387,16063
25/10/2020,907954,15567
26/10/2020,934215,26261
27/10/2020,958050,23835
28/10/2020,981416,23366
29/10/2020,1004500,23084
30/10/2020,1026954,22454
31/10/2020,1043300,16346
01/11/2020,1058909,15609
02/11/2020,1090147,31238
03/11/2020,1115491,25344
04/11/2020,1138921,23430
05/11/2020,1162391,23470
06/11/2020,1185459,23068
07/11/2020,1203844,18385
08/11/2020,1223677,19833
09/11/2020,1254493,30816
10/11/2020,1281676,27183
11/11/2020,1308782,27106
12/11/2020,1333055,24273
13/11/2020,1356906,23851
14/11/2020,1374787,17881
15/11/2020,1390718,15931
16/11/2020,1417080,26362
17/11/2020,1440013,22933
18/11/2020,1460583,20570
